dataset,rel_id,rel_name,c_r
YAGO,0,<wasBornIn>,0.912479
YAGO,1,<worksAt>,1.22446
YAGO,2,<playsFor>,1.627374
YAGO,3,<hasWonPrize>,1.173126
YAGO,4,<isMarriedTo>,1.323518
YAGO,5,<owns>,1.171884
YAGO,6,<graduatedFrom>,1.089599
YAGO,7,<diedIn>,0.95829
YAGO,8,<isAffiliatedTo>,1.250572
YAGO,9,<created>,1.208431
ICEWS14,0,Criticize or denounce,0.204471
ICEWS14,1,Express intent to meet or negotiate,0.110761
ICEWS14,2,Consult,0.168946
ICEWS14,3,Make an appeal or request,0.140134
ICEWS14,4,"Abduct, hijack, or take hostage",0.160719
ICEWS14,5,Praise or endorse,0.172666
ICEWS14,6,Engage in negotiation,0.200471
ICEWS14,7,Use unconventional violence,0.142757
ICEWS14,8,Make statement,0.190278
ICEWS14,9,"Arrest, detain, or charge with legal action",0.169167
ICEWS14,10,Use conventional military force,0.222209
ICEWS14,11,Complain officially,0.184639
ICEWS14,12,Impose administrative sanctions,0.181925
ICEWS14,13,Express intent to cooperate,0.213248
ICEWS14,14,Make a visit,0.192395
ICEWS14,15,Appeal for de-escalation of military engagement,0.172822
ICEWS14,16,Sign formal agreement,0.197941
ICEWS14,17,Attempt to assassinate,0.165535
ICEWS14,18,Host a visit,0.197625
ICEWS14,19,Increase military alert status,0.194314
ICEWS14,20,"Impose embargo, boycott, or sanctions",0.117003
ICEWS14,21,Provide economic aid,0.178896
ICEWS14,22,Demonstrate or rally,0.191368
ICEWS14,23,Express intent to engage in diplomatic cooperation (such as policy support),0.154543
ICEWS14,24,Appeal for intelligence,0.19382
ICEWS14,25,Demand,0.18944
ICEWS14,26,Carry out suicide bombing,0.203918
ICEWS14,27,Threaten,0.170979
ICEWS14,28,Express intent to provide material aid,0.106165
ICEWS14,29,Grant diplomatic recognition,0.18834
ICEWS14,30,Meet at a 'third' location,0.175542
ICEWS14,31,Accuse,0.201156
ICEWS14,32,Investigate,0.167065
ICEWS14,33,Reject,0.137999
ICEWS14,34,Appeal for diplomatic cooperation (such as policy support),0.200125
ICEWS14,35,Engage in symbolic act,0.188906
ICEWS14,36,"Defy norms, law",0.158793
ICEWS14,37,Consider policy option,0.173865
ICEWS14,38,Provide aid,0.198528
ICEWS14,39,Sexually assault,0.191836
ICEWS14,40,Make empathetic comment,0.199027
ICEWS14,41,Bring lawsuit against,0.187268
ICEWS14,42,"Impose blockade, restrict movement",0.198588
ICEWS14,43,Make pessimistic comment,0.111421
ICEWS14,44,"Protest violently, riot",0.113474
ICEWS14,45,Reduce or break diplomatic relations,0.189562
ICEWS14,46,Grant asylum,0.205771
ICEWS14,47,Engage in diplomatic cooperation,0.19466
ICEWS14,48,Make optimistic comment,0.042598
ICEWS14,49,Torture,0.199404
ICEWS14,50,Refuse to yield,0.1584
ICEWS14,51,Appeal for change in leadership,0.183805
ICEWS14,52,Cooperate militarily,0.191412
ICEWS14,53,Mobilize or increase armed forces,0.250954
ICEWS14,54,fight with small arms and light weapons,0.178753
ICEWS14,55,Ease administrative sanctions,0.193951
ICEWS14,56,Appeal for political reform,0.220539
